epoch,lr-Adam,step,test_error_epoch,test_error_step,train_error_epoch,train_error_step,valid_error_epoch,valid_error_step
,0.005,0,,,,,,
0,,0,,,,0.0004222288844175637,,
0,,1,,,,0.05196737125515938,,
0,,2,,,,0.00038225683965720236,,
0,,3,,,,0.01034711766988039,,
0,,4,,,,0.02072281576693058,,
0,,5,,,,0.022352566942572594,,
0,,6,,,,0.02180507779121399,,
0,,7,,,,0.006360805127769709,,
0,,8,,,,0.0016693173674866557,,
0,,9,,,,0.06655806303024292,,
0,,10,,,,0.003977684304118156,,
0,,11,,,,0.01062025036662817,,
0,,12,,,,0.03485174849629402,,
0,,13,,,,0.04683870077133179,,
0,,14,,,,0.026976455003023148,,
0,,15,,,,0.021397089585661888,,
0,,16,,,,0.008721176534891129,,
0,,17,,,,0.0011015257332473993,,
0,,18,,,,0.00695280684158206,,
0,,19,,,,0.01861521415412426,,
0,,20,,,,0.0015558073064312339,,
0,,21,,,,0.0006113768904469907,,
0,,22,,,,0.0003831664507742971,,
0,,23,,,,0.0005400269292294979,,
0,,24,,,,0.002393597736954689,,
0,,25,,,,0.015964249148964882,,
0,,26,,,,0.012114311568439007,,
0,,27,,,,0.0005986563628539443,,
0,,28,,,,0.0015066548949107528,,
0,,29,,,,0.00400356063619256,,
0,,30,,,,0.0013491737190634012,,
0,,31,,,,0.0021473835222423077,,
0,,32,,,,0.0021363652776926756,,
0,,33,,,,0.0003472178941592574,,
0,,34,,,,0.00014699288294650614,,
0,,35,,,,0.0003796814999077469,,
0,,36,,,,0.0058704945258796215,,
0,,37,,,,0.008296028710901737,,
0,,38,,,,0.0007548027788288891,,
0,,39,,,,0.004145841579884291,,
0,,40,,,,0.009529447183012962,,
0,,41,,,,0.02457754872739315,,
0,,42,,,,0.030742323026061058,,
0,,43,,,,0.0030565287452191114,,
0,,44,,,,0.03167744353413582,,
0,,45,,,,0.05976417288184166,,
0,,46,,,,0.005400041118264198,,
0,,47,,,,0.0014671824174001813,,
0,,48,,,,0.0037667565047740936,,
0,,49,,,,0.04408164694905281,,
0,,50,,,,0.04620898887515068,,
0,,51,,,,0.01455302070826292,,
0,,52,,,,0.00226038065738976,,
0,,53,,,,0.022828776389360428,,
0,,54,,,,0.019846344366669655,,
0,,55,,,,0.033388830721378326,,
0,,56,,,,0.00832850206643343,,
0,,57,,,,0.002779597183689475,,
0,,58,,,,0.031237861141562462,,
0,,59,,,,0.0608384795486927,,
0,,60,,,,0.02274339459836483,,
0,,61,,,,0.004667261149734259,,
0,,62,,,,0.0034312771167606115,,
0,,63,,,,0.014753940515220165,,
0,,64,,,,0.006994319148361683,,
0,,65,,,,0.012880921363830566,,
0,,66,,,,0.004778812173753977,,
0,,67,,,,0.004616349469870329,,
0,,68,,,,0.014219805598258972,,
0,,69,,,,0.005949749145656824,,
0,,70,,,,0.002539918990805745,,
0,,71,,,,0.024561703205108643,,
0,,72,,,,0.02289516292512417,,
0,,73,,,,0.029225056990981102,,
0,,74,,,,0.042082060128450394,,
0,,75,,,,0.0411263108253479,,
0,,76,,,,0.026404231786727905,,
0,,77,,,,0.01659349910914898,,
0,,78,,,,0.0020823085214942694,,
0,,79,,,,0.0003819370467681438,,
,,0,,,,,,0.14754745364189148
,,1,,,,,,0.08618227392435074
,,2,,,,,,0.03385937586426735
,,3,,,,,,0.28705543279647827
,,4,,,,,,0.39902767539024353
,,5,,,,,,0.2758015990257263
,,6,,,,,,0.47327232360839844
,,7,,,,,,0.5186270475387573
,,8,,,,,,0.4744068682193756
,,9,,,,,,0.5244990587234497
