epoch,lr-Adam,step,train_error_epoch,train_error_step,valid_error_epoch,valid_error_step
,0.005,0,,,,
0,,0,,0.4057072699069977,,
0,,1,,0.36683735251426697,,
0,,2,,0.29991623759269714,,
0,,3,,0.2676560580730438,,
0,,4,,0.21246910095214844,,
0,,5,,0.168707475066185,,
0,,6,,0.1269616335630417,,
0,,7,,0.11846005916595459,,
0,,8,,0.04161651059985161,,
0,,9,,0.014551989734172821,,
0,,10,,0.012466372922062874,,
0,,11,,0.03253742679953575,,
0,,12,,0.01826050877571106,,
0,,13,,0.010450714267790318,,
0,,14,,0.016942156478762627,,
0,,15,,0.007770282216370106,,
0,,16,,0.005330552812665701,,
0,,17,,0.0009094139677472413,,
0,,18,,0.003153916448354721,,
0,,19,,0.0020635691471397877,,
0,,20,,0.013080187141895294,,
0,,21,,0.0058387755416333675,,
0,,22,,0.0003219670325051993,,
0,,23,,0.0005038372473791242,,
0,,24,,0.0003458790306467563,,
0,,25,,0.005933533888310194,,
0,,26,,0.007470067124813795,,
0,,27,,0.0015453420346602798,,
0,,28,,0.0008177155978046358,,
0,,29,,0.0015824352158233523,,
0,,30,,0.007609814405441284,,
0,,31,,0.02952590584754944,,
0,,32,,0.038093823939561844,,
0,,33,,0.03717536851763725,,
0,,34,,0.0441574864089489,,
0,,35,,0.06013786792755127,,
0,,36,,0.036789167672395706,,
0,,37,,0.02193794958293438,,
0,,38,,0.027237391099333763,,
0,,39,,0.038254689425230026,,
0,,40,,0.0411834679543972,,
0,,41,,0.08063699305057526,,
0,,42,,0.1435651183128357,,
0,,43,,0.15834301710128784,,
0,,44,,0.12441091984510422,,
0,,45,,0.08331377059221268,,
0,,46,,0.10629848390817642,,
0,,47,,0.06591290235519409,,
0,,48,,0.038039952516555786,,
0,,49,,0.08130914717912674,,
0,,50,,0.07591001689434052,,
0,,51,,0.03939522057771683,,
0,,52,,0.016045331954956055,,
0,,53,,0.0011157413246110082,,
0,,54,,0.002122715814039111,,
0,,55,,0.004981442354619503,,
0,,56,,0.0016974167665466666,,
0,,57,,0.0024177387822419405,,
0,,58,,0.015983199700713158,,
0,,59,,0.031122207641601562,,
0,,60,,0.009158520959317684,,
0,,61,,0.002220844617113471,,
0,,62,,0.002216026186943054,,
0,,63,,0.006831477861851454,,
0,,64,,0.0017419708892703056,,
0,,65,,0.005766536574810743,,
0,,66,,0.0030808865558356047,,
0,,67,,0.00708059361204505,,
0,,68,,0.030711157247424126,,
0,,69,,0.03140484541654587,,
0,,70,,0.011115515604615211,,
0,,71,,0.0005951139610260725,,
0,,72,,0.0021010783966630697,,
0,,73,,0.000578816223423928,,
0,,74,,0.0016987858107313514,,
0,,75,,0.005521176848560572,,
0,,76,,0.008349815383553505,,
0,,77,,0.018373770639300346,,
0,,78,,0.0206505935639143,,
0,,79,,0.03629141300916672,,
,,0,,,,0.018084648996591568
,,1,,,,0.001696765422821045
,,2,,,,0.01472387369722128
,,3,,,,0.08835025876760483
,,4,,,,0.16530083119869232
,,5,,,,0.08301225304603577
,,6,,,,0.2172853946685791
,,7,,,,0.2775088846683502
,,8,,,,0.21695852279663086
,,9,,,,0.2979503273963928
,,10,,,,0.012061750516295433
,,11,,,,0.002753322245553136
,,12,,,,0.02536734752357006
,,13,,,,0.03166365623474121
,,14,,,,0.030400384217500687
,,15,,,,0.025008130818605423
,,16,,,,0.03026255965232849
,,17,,,,0.14199650287628174
,,18,,,,0.30573204159736633
,,19,,,,0.33456265926361084
0,,79,,,0.11157424002885818,
0,,79,0.04789477586746216,,,
,0.004995066821070679,80,,,,
1,,80,,0.4346173405647278,,
1,,81,,0.40718603134155273,,
1,,82,,0.34590575098991394,,
1,,83,,0.31769201159477234,,
1,,84,,0.2620879113674164,,
1,,85,,0.21655134856700897,,
1,,86,,0.1708957999944687,,
1,,87,,0.1620115339756012,,
1,,88,,0.06992249935865402,,
1,,89,,0.03265857696533203,,
1,,90,,0.028322672471404076,,
1,,91,,0.05717533826828003,,
1,,92,,0.03768341615796089,,
1,,93,,0.025587309151887894,,
1,,94,,0.03413510322570801,,
1,,95,,0.020483365282416344,,
1,,96,,0.015240437351167202,,
1,,97,,0.0050019617192447186,,
1,,98,,0.0006755921058356762,,
1,,99,,0.0005606886697933078,,
1,,100,,0.0046465168707072735,,
1,,101,,0.0012447048211470246,,
1,,102,,0.002292345045134425,,
1,,103,,0.0030989940278232098,,
1,,104,,0.0022185747511684895,,
1,,105,,0.001951943733729422,,
1,,106,,0.0027351563330739737,,
1,,107,,0.0004018806794192642,,
1,,108,,0.0001400537439621985,,
1,,109,,0.0003349041799083352,,
1,,110,,0.00382351316511631,,
1,,111,,0.021277600899338722,,
1,,112,,0.028427306562662125,,
1,,113,,0.027806181460618973,,
1,,114,,0.03426472097635269,,
1,,115,,0.04829074814915657,,
1,,116,,0.02850893698632717,,
1,,117,,0.016339663416147232,,
1,,118,,0.021049603819847107,,
1,,119,,0.02989017963409424,,
1,,120,,0.03199615702033043,,
1,,121,,0.06628550589084625,,
1,,122,,0.11798500269651413,,
1,,123,,0.12307918071746826,,
1,,124,,0.08964064717292786,,
1,,125,,0.059130001813173294,,
1,,126,,0.0675339326262474,,
1,,127,,0.03648529201745987,,
1,,128,,0.016629988327622414,,
1,,129,,0.04007088020443916,,
1,,130,,0.02893868088722229,,
1,,131,,0.009575908072292805,,
1,,132,,0.00245684920810163,,
1,,133,,0.005717638414353132,,
1,,134,,0.006587638985365629,,
1,,135,,0.019125008955597878,,
1,,136,,0.014038726687431335,,
1,,137,,0.004055415745824575,,
1,,138,,0.0004515000618994236,,
1,,139,,0.002827164949849248,,
1,,140,,0.0018278552452102304,,
1,,141,,0.003922664560377598,,
1,,142,,0.013995948247611523,,
1,,143,,0.021759090945124626,,
1,,144,,0.010229775682091713,,
1,,145,,0.015739811584353447,,
